Тип	Вид	ИмяПеременной	ТЧ	Реквизит	Значение	Режим	ДополнительныйТипЗначения
Справочник	ПростойСправочник	ПростойСправочник					
				Наименование	Тест		
Справочник	ПростойСправочник	ПростойСправочник0					
				Наименование	Тест0		
Справочник	ПростойСправочник2	ПростойСправочник21					
				Наименование	Тест1		
Справочник	ПростойСправочник2	ПростойСправочник22					
				Наименование	Тест2		
Документ	Документ2	Документ					
				Дата		ТекущаяДата	
				ПростойСправочник	ПростойСправочник	Перем	
			Состав				
				РеквизитЧисло	150		
				ПростойСправочник2	ПростойСправочник21	Перем	
				РеквизитБулево	Ложь		
			Состав				
				ПростойСправочник2	ПростойСправочник22	Перем	
				РеквизитЧисло	0		
				РеквизитБулево	Истина		
РегистрБухгалтерии	РегистрБухгалтерии1	ЗаписьРегистра1					
			Запись				
				Регистратор	Документ	Перем	
				Период			
				СчетДт	Счет01	Предопределенный	ПланСчетовСсылка.ПланСчетов1
				СчетКт	Счет02	Предопределенный	ПланСчетовСсылка.ПланСчетов1
				ПростойСправочник	ПростойСправочник	Перем	
				ПростойСправочник2Дт	ПростойСправочник21	Перем	
				РесурсЧисло	150		
				РесурсЧисло1Дт	10		
				РеквизитБулево	Ложь		
				СубконтоДт1	ПростойСправочник	Перем	
				СубконтоКт1	ПростойСправочник21	Перем	
				СубконтоКт2	ПростойСправочник	Перем	
			Запись				
				Регистратор	Документ	Перем	
				Период		ТекущаяДата	
				СчетДт	Счет02	Наименование	
				СчетКт	Счет01	Наименование	
				ПростойСправочник	ПростойСправочник	Перем	
				ПростойСправочник2Кт	ПростойСправочник22	Перем	
				РесурсЧисло	0		
				РесурсЧисло1Кт	20		
				РеквизитБулево	Истина		
				СубконтоДт1	ПростойСправочник21	Перем	
				СубконтоДт2	ПростойСправочник0	Перем	
				СубконтоКт1	ПростойСправочник	Перем	
